url_to,url_from
https://cs.illinois.edu/about-us/awards/faculty-awards/chairs-and-professorships/paul-and-cynthia-saylor-professorship,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/klara,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/padua,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/lrs,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/about-us/awards/faculty-awards/chairs-and-professorships/donald-b-gillies-chair-computer-science,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/snir,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/about-us/awards/faculty-awards/chairs-and-professorships/michael-faiman-professorship-computer,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/torrella,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/about-us/awards/faculty-awards/chairs-and-professorships/saburo-muroga-professorship-computer,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/warnow,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships/grainger-distinguished-chair-engineering,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/people/faculty/czhai,https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships
https://cs.illinois.edu/news/illinois-cs-vision-group-provides-leadership-rapidly-growing-field,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/new-money-il-drone-startup-used-sacramento-kings-arena-construction-raises,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/cs-ece-professors-explore-how-social-media-spreads-information-affects-beliefs-and-even-shapes,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/illinois-receives-25-million-develop-internet-battlefield-things,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/darpa-jump-center-aims-define-future-microelectronics,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/illinois-cs-researchers-among-teams-selected-darpa-unleash-power-specialized-and-reconfigurable,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/new-algorithm-fuses-quality-and-quantity-satellite-imagery,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/international-team-includes-university-illinois-computer-scientists-confirms-new-link-als,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/prairielearn-allows-students-take-exams-and-do-homework-online-and-have-both-graded-instantly,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
