url_to,url_from
https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/alumni,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/corporate,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://my.cs.illinois.edu/,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/search,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/contact-us,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/positions,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/positions/faculty-positions,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/positions/postdoctoral,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/positions/staff-positions,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/positions/choose-illinois-computer-science,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/statistics,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/accreditation,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/history-timeline,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/awards,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/awards/faculty-awards,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
https://cs.illinois.edu/about/awards/faculty-awards/chairs-and-professorships/abel-bliss-professorship-engineering,https://cs.illinois.edu/about/awards/undergraduate-scholarships-awards/cisco-systems-wcs-undergraduate-scholarship
