url_from,url_to
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/phd-program/advancing-candidacy
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/phd-program/final-defense
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/phd-commencement
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/courses
https://www.cs.utexas.edu/about,http://registrar.utexas.edu/schedules/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate/courses/diversity-courses
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/courses/former-program
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/courses/teaching-plans
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/financial-information
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/incoming-students
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/current-students/student-homepages
https://www.cs.utexas.edu/graduate-program/forms,https://coronavirus.utexas.edu/
https://www.cs.utexas.edu/graduate-program/forms,http://cs.utexas.edu/coronavirus
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/about
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/news
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/utcs-direct
https://www.cs.utexas.edu/graduate-program/forms,https://utdirect.utexas.edu/apps/utgiving/online/nlogon/?menu1=NSCU
https://www.cs.utexas.edu/graduate-program/forms,https://www.utexas.edu/
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/
https://www.cs.utexas.edu/graduate-program/forms,https://cns.utexas.edu/
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/research
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/research/areas
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/research/research-seminars
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/research/ut-research-links
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/research/publications
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/people
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/people/staff
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/people/offices
https://www.cs.utexas.edu/about,http://robotics.utexas.edu/education
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/current-students/research-career-advice
https://www.cs.utexas.edu/about,http://www.cs.utexas.edu/~gracs/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/curricular-practical-training
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/graduate-program/forms
https://www.cs.utexas.edu/about,https://apps.cs.utexas.edu/calendar/grad-talks
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/camps
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/roadshow
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/explore-ut
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/diversity-initiatives
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/coding-classroom
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/focs/partners
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/friends-computer-science/program-features
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/how-participate
https://www.cs.utexas.edu/about,https://utexas.qualtrics.com/jfe/form/SV_9ZwguCGpfD9yqqN
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/diversity
https://www.cs.utexas.edu/about,https://robotics.utexas.edu/robotics-consortium
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/systems-research-consortium
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/awards
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/awards/research-awards
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/awards/service-awards
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/awards/teaching-awards
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/awards/graduate-student-awards
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/admissions
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/admissions/prospective-students
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/admissions/internal-transfers
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/turing-scholars
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics/advising
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/alumni
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/alumni/get-involved
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/alumni/events
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/giving
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/giving/why
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/giving/how
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/advisory-council
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/directory/don-fussell
https://www.cs.utexas.edu/about,https://cns.utexas.edu/diversity
https://www.cs.utexas.edu/about,http://www.cmd-it.org/programs/current/flip-alliance/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/industry/computing-diversity
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/outreach/student-conferences-and-diversity-initiatives
https://www.cs.utexas.edu/about,http://texasabcs.org/
https://www.cs.utexas.edu/about,http://codeorange.io/
https://www.cs.utexas.edu/about,http://texashacs.org/
https://www.cs.utexas.edu/about,http://texasqplusplus.com/
https://www.cs.utexas.edu/about,http://www.cs.utexas.edu/~wics/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/about-us
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics/advising/orientation
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate/academics/advising/forms
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics/advising/preparing-graduate-school
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics/concentrations
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/big-data
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/systems
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/cybersecurity
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/game-development
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/mlai
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/concentrations/mobile-computing
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/undergraduate-program/academics/curriculum
https://www.cs.utexas.edu/graduate-program/forms,https://www.cs.utexas.edu/node/69868
https://www.cs.utexas.edu/about,https://apps.cs.utexas.edu/camp/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/certificate-programs/game-development
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/certificate-programs/infosec
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate/academics/certificate-programs/mobile-computing
https://www.cs.utexas.edu/about,http://www.1semesterstartup.com/
https://www.cs.utexas.edu/about,https://cns.utexas.edu/fri
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/longhorn-startup
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/interdisciplinary-study-certificate-programs-and-study-abroad/study-abroad
https://www.cs.utexas.edu/about,http://uteachweb.cns.utexas.edu/
